,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Issn1,Issn2
91,21100786228,"Lancet Gastroenterology and Hepatology, The",journal,24681253,8.957,Q1,105,24681253,
92,19900191767,American Economic Journal: Applied Economics,journal,"19457790, 19457782",8.933,Q1,109,19457790,19457782
93,19700200701,Annual Review of Economics,journal,"19411383, 19411391",8.925,Q1,76,19411383,19411391
94,24535,Acta Numerica,journal,"14740508, 09624929",8.913,Q1,85,14740508,09624929
95,19014,Nature Cell Biology,journal,"14764679, 14657392",8.913,Q1,409,14764679,14657392
96,28599,Reviews of Geophysics,journal,"19449208, 87551209",8.853,Q1,191,19449208,87551209
97,21101101215,Cell Genomics,journal,2666979X,8.807,Q1,20,2666979X,
98,22401,Journal of the American College of Cardiology,journal,"15583597, 07351097",8.762,Q1,493,15583597,07351097
99,21100860945,Science immunology,journal,24709468,8.761,Q1,106,24709468,
100,13839,Annual Review of Fluid Mechanics,book series,"15454479, 00664189",8.751,Q1,214,15454479,00664189
101,21100199127,Advanced Energy Materials,journal,"16146832, 16146840",8.748,Q1,319,16146832,16146840
102,21100888816,Signal Transduction and Targeted Therapy,journal,"20593635, 20959907",8.737,Q1,117,20593635,20959907
103,21100228100,Advances in Optics and Photonics,journal,19438206,8.735,Q1,88,19438206,
104,18902,IEEE Journal on Selected Areas in Communications,journal,07338716,8.707,Q1,263,07338716,
105,14181,Annual Review of Neuroscience,journal,"0147006X, 15454126",8.658,Q1,261,0147006X,15454126
106,21101151587,eLight,journal,"26628643, 20971710",8.65,Q1,22,26628643,20971710
107,16860,"Lancet Neurology, The",journal,"14744465, 14744422",8.589,Q1,355,14744465,14744422
108,22581,Circulation,journal,"00097322, 15244539",8.415,Q1,674,00097322,15244539
109,13443,Psychological Bulletin,journal,"00332909, 19391455",8.412,Q1,359,00332909,19391455
110,17700156509,Nature Reviews Cardiology,journal,"17595010, 17595002",8.408,Q1,183,17595010,17595002
111,29838,Journal of Accounting and Economics,journal,01654101,8.337,Q1,187,01654101,
112,20191,Academy of Management Journal,journal,00014273,8.271,Q1,375,00014273,
113,4000151822,Nature Physics,journal,17452473,8.228,Q1,334,17452473,
114,12429,Molecular Cancer,journal,14764598,8.222,Q1,196,14764598,
115,21101101212,AI Open,journal,26666510,8.119,Q1,16,26666510,
116,28366,Gut,journal,"14683288, 00175749",8.052,Q1,348,14683288,00175749
117,21100203106,Foundations and Trends in Finance,journal,"15672409, 15672395",8.051,Q1,23,15672409,15672395
118,5200152836,Synthesis Lectures on Communication Networks,book series,19354185,7.993,Q1,12,19354185,
119,21100773752,Nature Microbiology,journal,20585276,7.982,Q1,138,20585276,
120,21100220495,"Lancet Respiratory Medicine,The",journal,"22132619, 22132600",7.965,Q1,182,22132619,22132600
121,21100831443,Nature Biomedical Engineering,journal,2157846X,7.951,Q1,116,2157846X,
122,26038,Endocrine Reviews,journal,"19457189, 0163769X",7.922,Q1,307,19457189,0163769X
123,6400153137,Journal of Thoracic Oncology,journal,"15561380, 15560864",7.879,Q1,178,15561380,15560864
124,17437,Nature Reviews Neuroscience,journal,"14710048, 1471003X",7.86,Q1,474,14710048,1471003X
125,21100420583,JAMA Oncology,journal,"23742445, 23742437",7.843,Q1,173,23742445,23742437
126,21100972445,Nature Reviews Physics,journal,25225820,7.833,Q1,70,25225820,
127,21100356804,"Lancet Psychiatry,The",journal,"22150374, 22150366",7.827,Q1,145,22150374,22150366
128,23157,Strategic Management Journal,journal,"10970266, 01432095",7.82,Q1,333,10970266,01432095
129,17899,Progress in Materials Science,journal,"18732208, 00796425",7.796,Q1,235,18732208,00796425
130,16160,Review of Finance,journal,"1573692X, 15723097",7.769,Q1,77,1573692X,15723097
131,24972,ACM Transactions on Graphics,journal,"15577368, 07300301",7.766,Q1,251,15577368,07300301
132,5300152732,Cell Host and Microbe,journal,"19346069, 19313128",7.76,Q1,241,19346069,19313128
133,17978,Neuron,journal,"10974199, 08966273",7.728,Q1,530,10974199,08966273
134,21100198409,Nature Climate Change,journal,"17586798, 1758678X",7.724,Q1,267,17586798,1758678X
135,21100863710,Annual Review of Organizational Psychology and Organizational Behavior,journal,23270608,7.706,Q1,75,23270608,
136,16721,Annual Review of Plant Biology,journal,"15452123, 15435008",7.555,Q1,298,15452123,15435008
137,24204,Review of Economics and Statistics,journal,"00346535, 15309142",7.553,Q1,200,00346535,15309142
138,20635,Journal of Management,journal,"01492063, 15571211",7.539,Q1,280,01492063,15571211
139,21100212318,Cancer Discovery,journal,"21598274, 21598290",7.533,Q1,229,21598274,21598290
140,17900156736,Journal of Hematology and Oncology,journal,17568722,7.522,Q1,144,17568722,
141,28980,Journal of Economic Perspectives,journal,08953309,7.496,Q1,224,08953309,
142,19700173023,Living Reviews in Solar Physics,journal,"16144961, 23673648",7.472,Q1,68,16144961,23673648
143,5800207366,Nature Protocols,journal,17542189,7.419,Q1,303,17542189,
144,21706,Annual Review of Genetics,journal,"15452948, 00664197",7.366,Q1,200,15452948,00664197
145,21100873499,Nature Sustainability,journal,23989629,7.366,Q1,115,23989629,
146,28330,Gastroenterology,journal,"15280012, 00165085",7.362,Q1,466,15280012,00165085
147,4600151524,Annual Review of Clinical Psychology,journal,"15485951, 15485943",7.348,Q1,145,15485951,15485943
148,21100922606,"Lancet Digital Health, The",journal,25897500,7.277,Q1,66,25897500,
149,17700156440,Nature Reviews Endocrinology,journal,"17595037, 17595029",7.274,Q1,203,17595037,17595029
150,21101038708,The Innovation,journal,26666758,7.268,Q1,41,26666758,
151,21100832985,ACS Energy Letters,journal,23808195,7.202,Q1,195,23808195,
152,40944,Genome Biology,journal,14747596,7.197,Q1,301,14747596,
153,24385,Journal of the Academy of Marketing Science,journal,"00920703, 15527824",7.194,Q1,207,00920703,15527824
154,21100932733,Nature Metabolism,journal,25225812,7.192,Q1,75,25225812,
155,24721,Annals of Mathematics,journal,0003486X,7.154,Q1,137,0003486X,
